"id","season","city","match_type","team1","team2","toss_winner","toss_decision","venue","team1_win_pct","team2_win_pct","venue_avg_score","winner"
501242,"2011","Kochi","League","Kochi Tuskers Kerala","Kolkata Knight Riders","Kolkata Knight Riders","field","Nehru Stadium",42.86,52.19,147,"Kochi Tuskers Kerala"
501243,"2011","Hyderabad","League","Deccan Chargers","Delhi Capitals","Delhi Capitals","field","Rajiv Gandhi International Stadium",38.67,46.00,163,"Delhi Capitals"
501244,"2011","Bangalore","League","Royal Challengers Bengaluru","Punjab Kings","Punjab Kings","field","M Chinnaswamy Stadium",48.81,45.53,173,"Royal Challengers Bengaluru"
501245,"2011","Kolkata","League","Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings","bat","Eden Gardens",52.19,58.23,166,"Kolkata Knight Riders"
501246,"2011","Mumbai","League","Mumbai Indians","Delhi Capitals","Delhi Capitals","field","Wankhede Stadium",55.17,46.00,170,"Mumbai Indians"
501247,"2011","Bangalore","League","Royal Challengers Bengaluru","Kochi Tuskers Kerala","Kochi Tuskers Kerala","bat","M Chinnaswamy Stadium",48.81,42.86,173,"Royal Challengers Bengaluru"
501248,"2011","Chandigarh","League","Punjab Kings","Pune Warriors","Punjab Kings","bat","Punjab Cricket Association IS Bindra Stadium",45.53,26.67,168,"Pune Warriors"
501249,"2011","Jaipur","League","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","field","Sawai Mansingh Stadium",51.14,58.23,162,"Chennai Super Kings"
501250,"2011","Hyderabad","League","Deccan Chargers","Pune Warriors","Deccan Chargers","bat","Rajiv Gandhi International Stadium",38.67,26.67,163,"Pune Warriors"
501251,"2011","Chandigarh","League","Punjab Kings","Mumbai Indians","Mumbai Indians","field","Punjab Cricket Association IS Bindra Stadium",45.53,55.17,168,"Punjab Kings"
501252,"2011","Jaipur","League","Rajasthan Royals","Royal Challengers Bengaluru","Royal Challengers Bengaluru","field","Sawai Mansingh Stadium",51.14,48.81,162,"Royal Challengers Bengaluru"
501253,"2011","Chennai","League","Chennai Super Kings","Delhi Capitals","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,46.00,164,"Chennai Super Kings"
501254,"2011","Indore","League","Kochi Tuskers Kerala","Punjab Kings","Punjab Kings","field","Holkar Cricket Stadium",42.86,45.53,160,"Punjab Kings"
501255,"2011","Bangalore","League","Royal Challengers Bengaluru","Kolkata Knight Riders","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,52.19,173,"Royal Challengers Bengaluru"
501256,"2011","Mumbai","League","Mumbai Indians","Deccan Chargers","Deccan Chargers","bat","Wankhede Stadium",55.17,38.67,170,"Deccan Chargers"
501257,"2011","Dharamsala","League","Punjab Kings","Delhi Capitals","Delhi Capitals","field","Himachal Pradesh Cricket Association Stadium",45.53,46.00,184,"Punjab Kings"
501258,"2011","Indore","League","Kochi Tuskers Kerala","Rajasthan Royals","Kochi Tuskers Kerala","field","Holkar Cricket Stadium",42.86,51.14,160,"Kochi Tuskers Kerala"
501259,"2011","Mumbai","League","Pune Warriors","Deccan Chargers","Deccan Chargers","field","Dr DY Patil Sports Academy",26.67,38.67,160,"Deccan Chargers"
501260,"2011","Dharamsala","League","Punjab Kings","Royal Challengers Bengaluru","Punjab Kings","bat","Himachal Pradesh Cricket Association Stadium",45.53,48.81,184,"Punjab Kings"
501261,"2011","Chennai","League","Chennai Super Kings","Kochi Tuskers Kerala","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,42.86,164,"Chennai Super Kings"
501262,"2011","Mumbai","League","Pune Warriors","Kolkata Knight Riders","Kolkata Knight Riders","field","Dr DY Patil Sports Academy",26.67,52.19,160,"Kolkata Knight Riders"
501263,"2011","Mumbai","League","Mumbai Indians","Rajasthan Royals","Mumbai Indians","bat","Wankhede Stadium",55.17,51.14,170,"Rajasthan Royals"
501264,"2011","Dharamsala","League","Punjab Kings","Deccan Chargers","Punjab Kings","field","Himachal Pradesh Cricket Association Stadium",45.53,38.67,184,"Deccan Chargers"
501266,"2011","Bangalore","League","Royal Challengers Bengaluru","Chennai Super Kings","Royal Challengers Bengaluru","field","M Chinnaswamy Stadium",48.81,58.23,173,"Royal Challengers Bengaluru"
501267,"2011","Kolkata","League","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","Eden Gardens",52.19,55.17,166,"Mumbai Indians"
501268,"2011","Mumbai","Qualifier 1","Royal Challengers Bengaluru","Chennai Super Kings","Chennai Super Kings","field","Wankhede Stadium",48.81,58.23,170,"Chennai Super Kings"
501269,"2011","Mumbai","Elimination Final","Mumbai Indians","Kolkata Knight Riders","Mumbai Indians","field","Wankhede Stadium",55.17,52.19,170,"Mumbai Indians"
501270,"2011","Chennai","Qualifier 2","Royal Challengers Bengaluru","Mumbai Indians","Mumbai Indians","field","MA Chidambaram Stadium",48.81,55.17,164,"Royal Challengers Bengaluru"
501271,"2011","Chennai","Final","Chennai Super Kings","Royal Challengers Bengaluru","Chennai Super Kings","bat","MA Chidambaram Stadium",58.23,48.81,164,"Chennai Super Kings"
